"","CD_REFNIS_SECTOR","TX_SECTOR_DESCR_NL","n_food_establishments"
"1","11001A00-","AARTSELAAR-CENTRUM",2
"2","11002A01-","KLAPDORP - BROUWERSVLIET",2
"3","11002A02-","GROENPLAATS (SPAANSE WALLEN)",6
"4","11002A03-","HOOGSTRAAT (SPAANSE WALLEN)",5
"5","11002A04-","OUDAAN (SPAANSE WALLEN)",1
"6","11002A05-","GEVANGENIS (SPAANSE WALLEN)",2
"7","11002A10-","MEIR - LEYSSTRAAT (SP. WALLEN)",2
"8","11002A11-","KIPDORP-ST.-JACOBS (SP.WALLEN)",3
"9","11002A12-","K.N.S.-NAT. BANK (SP. WALLEN)",1
"10","11002A15-","HESSENHUIS (SPAANSE WALLEN)",2
"11","11002A22-","ST.-MICHIELSKAAI (SP. WALLEN)",2
"12","11002C20-","STATIEKWARTIER (STATIONSWIJK)",9
"13","11002C21-","ATHENEUM (STATIONSWIJK)",2
"14","11002C22-","DE CONINCPLEIN-Z.(STATIONSW.)",1
"15","11002C24-","PROVINCIESTRAAT(STATIONSWIJK )",3
"16","11002C25-","PELIKAANSTRAAT (STATIONSWIJK )",2
"17","11002C41-","DAMBRUGGESTRAAT-N.(STATIONSW.)",4
"18","11002C42-","DE ZAVEL (NOORDWIJK )",3
"19","11002D31-","ASTRID BAD (OOSTWIJK)",1
"20","11002D32-","ST.-VINCENTIUS (OOSTWIJK)",3
"21","11002D34-","DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK)",4
"22","11002E131","VLAAMSE KAAI (ZUIDWIJK)",1
"23","11002E14-","MUSEUMWIJK (ZUIDWIJK)",3
"24","11002E15-","GERECHTSHOF (ZUIDWIJK)",1
"25","11002H40-","ST.-AMANDUS (NOORDWIJK)",3
"26","11002H41-","STUIVENBERG-WEST",3
"27","11002J85-","'T EILANDJE",1
"28","11002P03-","DE GEESTEN",1
"29","11002Q001","OUD MERKSEM",1
"30","11002R12-","CONFORTA",2
"31","11002S00-","BORGERHOUT - GEMEENTEHUIS",3
"32","11002S01-","FONTEINSTRAAT",1
"33","11002S03-","KROONSTRAAT-WEST",2
"34","11002S05-","KATTENBERG",3
"35","11002S30-","DE PEPERBUS",1
"36","11002T00-","OP TEN BERGH",3
"37","11002T30-","ZURENBORG",4
"38","11002V12-","WEERSTANDLAAN",1
"39","11005A00-","BOOM-CENTRUM",1
"40","11005A01-","ADVOKAATSTRAAT",1
"41","11008A30-","MARIA-TER-HEIDE",1
"42","11009B00-","SINT-LENAARTS-CENTRUM",1
"43","11013A00-","EDEGEM-CENTRUM",2
"44","11016A000","ESSEN-CENTRUM",2
"45","11016A010","HEUVEL",1
"46","11016A042","HONDSBERG",1
"47","11016A112","WILDERT-WEST",1
"48","11016A401","STATION",1
"49","11018A101","HEUVELSTRAAT",1
"50","11018A122","SINT-BERNARD",1
"51","11022A001","KALMTHOUT-CENTRUM-OOST",1
"52","11022A10-","KALMTHOUT-DORP",2
"53","11022A201","OUD-HEIDE",1
"54","11023A10-","PUTTE-CENTRUM",1
"55","11025A000","LINT-CENTRUM",1
"56","11029A00-","OUDE-GOD",1
"57","11030A00-","NIEL-CENTRUM",2
"58","11035C00-","BROECHEM-CENTRUM",1
"59","11037C12-","TURKIJE",1
"60","11038A000","SCHELLE-DORP",1
"61","11039A010","LINDENHOEK",1
"62","11040A00-","SCHOTEN-CENTRUM",1
"63","11040A201","DEUZELD",1
"64","11044A001","STABROEK-CENTRUM-WEST",1
"65","11044A032","STABROEK-CENTRUM-OOST",1
"66","11050A000","WIJNEGEM-CENTRUM-NOORD",1
"67","11050A274","DORENBOS",1
"68","11053A101","GOOREIND-KERN",1
"69","11055A000","ZOERSEL-CENTRUM",1
"70","11057A00-","WESTMALLE-CENTRUM",1
"71","11057B00-","OOSTMALLE-CENTRUM",1
"72","12005A000","BONHEIDEN-CENTRUM",1
"73","12007A001","BORNEM-CENTRUM",1
"74","12007A122","BRANDHEIDE",1
"75","12009A200","DUFFEL-CENTRUM-OOST",1
"76","12014A391","STEENPUTTEN",1
"77","12014E001","BOOISCHOT-CENTRUM",1
"78","12021A00-","LIER-CENTRUM-WEST",1
"79","12025A011","VLIETSE",2
"80","12025A02-","WINKELCENTRUM-(BRUUL-IJZ.LEEN)",5
"81","12025A10-","MECHELEN - STATIONSWIJK",2
"82","12026A01-","DORSEL",1
"83","12030A000","PUURS-CENTRUM",1
"84","13002A000","BAARLE-HERTOG -CENTRUM",1
"85","13003A00-","BALEN-CENTRUM",1
"86","13008A001","GEEL-CENTRUM",4
"87","13008A003","GEEL-CENTRUM STATION",3
"88","13008A20-","WINKELOMSEHEIDE-KERN",1
"89","13008A50-","ZAMMEL-KERN",1
"90","13008A820","ELZEN",1
"91","13008A900","SINT-DYMPHNA",1
"92","13010A021","EISTERLEE",1
"93","13011A040","HERENTALS - STATIONSWIJK",1
"94","13011B011","WOUD",1
"95","13013B00-","RAMSEL-KERN",1
"96","13014A00-","VRIJHEID",2
"97","13014A01-","VAN AERTSELAAR",1
"98","13014B00-","MINDERHOUT-DORP",1
"99","13016A000","HULSHOUT-KERN",2
"100","13016B000","WESTMEERBEEK-KERN",1
"101","13017A00-","KASTERLEE-CENTRUM",1
"102","13017A041","OSSENGOOR",1
"103","13017B091","NETEVALLEI - DIESTSE WEG",1
"104","13019A00-","LILLE-CENTRUM",2
"105","13019C000","GIERLE-CENTRUM",1
"106","13021A00-","MEERHOUT-CENTRUM",2
"107","13021A200","ZITTAART KERN",1
"108","13025A00-","MOL-CENTRUM",5
"109","13025A01-","TURNHOUTSEBAAN",1
"110","13025A700","MILLEGEM",1
"111","13029A000","OLEN-CENTRUM",1
"112","13029A12-","BUUL",1
"113","13029A20-","SINT-JOZEF-OLEN-KERN",1
"114","13031A000","OUD-TURNHOUT-CENTRUM",1
"115","13035B10-","SINT-JAN",1
"116","13037A001","RIJKEVORSEL-DORP",1
"117","13040A000","TURNHOUT-CENTRUM",2
"118","13040A622","DE WARANDE",1
"119","13046A001","VOSSELAAR-CENTRUM",1
"120","13046A042","BOLK",1
"121","13049A011","BOERENKRIJGLAAN",1
"122","13053C000","EINDHOUT-DORP",1
"123","13053D000","VORST-CENTRUM",1
"124","21001A02-","WAYEZ",1
"125","21001A10-","PORSELEIN",1
"126","21001A132","RAUTER-NORD",1
"127","21001A142","VEEWEIDE-NORD",1
