"","CD_REFNIS_SECTOR","TX_SECTOR_DESCR_NL","Type","n_food_establishments_grouped"
"1","11001A00-","AARTSELAAR-CENTRUM","Restaurant",2
"2","11002A01-","KLAPDORP - BROUWERSVLIET","Fast-Food",2
"3","11002A02-","GROENPLAATS (SPAANSE WALLEN)","Fast-Food",3
"4","11002A02-","GROENPLAATS (SPAANSE WALLEN)","Restaurant",3
"5","11002A03-","HOOGSTRAAT (SPAANSE WALLEN)","Fast-Food",2
"6","11002A03-","HOOGSTRAAT (SPAANSE WALLEN)","Restaurant",3
"7","11002A04-","OUDAAN (SPAANSE WALLEN)","Restaurant",1
"8","11002A05-","GEVANGENIS (SPAANSE WALLEN)","Fast-Food",1
"9","11002A05-","GEVANGENIS (SPAANSE WALLEN)","Restaurant",1
"10","11002A10-","MEIR - LEYSSTRAAT (SP. WALLEN)","Fast-Food",2
"11","11002A11-","KIPDORP-ST.-JACOBS (SP.WALLEN)","Fast-Food",3
"12","11002A12-","K.N.S.-NAT. BANK (SP. WALLEN)","Fast-Food",1
"13","11002A15-","HESSENHUIS (SPAANSE WALLEN)","Fast-Food",2
"14","11002A22-","ST.-MICHIELSKAAI (SP. WALLEN)","Fast-Food",1
"15","11002A22-","ST.-MICHIELSKAAI (SP. WALLEN)","Restaurant",1
"16","11002C20-","STATIEKWARTIER (STATIONSWIJK)","Fast-Food",6
"17","11002C20-","STATIEKWARTIER (STATIONSWIJK)","Restaurant",3
"18","11002C21-","ATHENEUM (STATIONSWIJK)","Restaurant",2
"19","11002C22-","DE CONINCPLEIN-Z.(STATIONSW.)","Fast-Food",1
"20","11002C24-","PROVINCIESTRAAT(STATIONSWIJK )","Fast-Food",3
"21","11002C25-","PELIKAANSTRAAT (STATIONSWIJK )","Restaurant",2
"22","11002C41-","DAMBRUGGESTRAAT-N.(STATIONSW.)","Fast-Food",2
"23","11002C41-","DAMBRUGGESTRAAT-N.(STATIONSW.)","Restaurant",2
"24","11002C42-","DE ZAVEL (NOORDWIJK )","Fast-Food",3
"25","11002D31-","ASTRID BAD (OOSTWIJK)","Restaurant",1
"26","11002D32-","ST.-VINCENTIUS (OOSTWIJK)","Fast-Food",2
"27","11002D32-","ST.-VINCENTIUS (OOSTWIJK)","Restaurant",1
"28","11002D34-","DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK)","Restaurant",4
"29","11002E131","VLAAMSE KAAI (ZUIDWIJK)","Restaurant",1
"30","11002E14-","MUSEUMWIJK (ZUIDWIJK)","Fast-Food",2
"31","11002E14-","MUSEUMWIJK (ZUIDWIJK)","Restaurant",1
"32","11002E15-","GERECHTSHOF (ZUIDWIJK)","Restaurant",1
"33","11002H40-","ST.-AMANDUS (NOORDWIJK)","Fast-Food",2
"34","11002H40-","ST.-AMANDUS (NOORDWIJK)","Restaurant",1
"35","11002H41-","STUIVENBERG-WEST","Fast-Food",1
"36","11002H41-","STUIVENBERG-WEST","Restaurant",2
"37","11002J85-","'T EILANDJE","Restaurant",1
"38","11002P03-","DE GEESTEN","Restaurant",1
"39","11002Q001","OUD MERKSEM","Fast-Food",1
"40","11002R12-","CONFORTA","Fast-Food",2
"41","11002S00-","BORGERHOUT - GEMEENTEHUIS","Fast-Food",2
"42","11002S00-","BORGERHOUT - GEMEENTEHUIS","Restaurant",1
"43","11002S01-","FONTEINSTRAAT","Restaurant",1
"44","11002S03-","KROONSTRAAT-WEST","Fast-Food",2
"45","11002S05-","KATTENBERG","Fast-Food",3
"46","11002S30-","DE PEPERBUS","Fast-Food",1
"47","11002T00-","OP TEN BERGH","Fast-Food",2
"48","11002T00-","OP TEN BERGH","Restaurant",1
"49","11002T30-","ZURENBORG","Fast-Food",3
"50","11002T30-","ZURENBORG","Restaurant",1
"51","11002V12-","WEERSTANDLAAN","Restaurant",1
"52","11005A00-","BOOM-CENTRUM","Fast-Food",1
"53","11005A01-","ADVOKAATSTRAAT","Restaurant",1
"54","11008A30-","MARIA-TER-HEIDE","Fast-Food",1
"55","11009B00-","SINT-LENAARTS-CENTRUM","Fast-Food",1
"56","11013A00-","EDEGEM-CENTRUM","Fast-Food",1
"57","11013A00-","EDEGEM-CENTRUM","Restaurant",1
"58","11016A000","ESSEN-CENTRUM","Fast-Food",2
"59","11016A010","HEUVEL","Fast-Food",1
"60","11016A042","HONDSBERG","Fast-Food",1
"61","11016A112","WILDERT-WEST","Restaurant",1
"62","11016A401","STATION","Fast-Food",1
"63","11018A101","HEUVELSTRAAT","Restaurant",1
"64","11018A122","SINT-BERNARD","Fast-Food",1
"65","11022A001","KALMTHOUT-CENTRUM-OOST","Restaurant",1
"66","11022A10-","KALMTHOUT-DORP","Fast-Food",1
"67","11022A10-","KALMTHOUT-DORP","Restaurant",1
"68","11022A201","OUD-HEIDE","Restaurant",1
"69","11023A10-","PUTTE-CENTRUM","Restaurant",1
"70","11025A000","LINT-CENTRUM","Restaurant",1
"71","11029A00-","OUDE-GOD","Restaurant",1
"72","11030A00-","NIEL-CENTRUM","Fast-Food",2
"73","11035C00-","BROECHEM-CENTRUM","Restaurant",1
"74","11037C12-","TURKIJE","Fast-Food",1
"75","11038A000","SCHELLE-DORP","Cafe",1
"76","11039A010","LINDENHOEK","Restaurant",1
"77","11040A00-","SCHOTEN-CENTRUM","Restaurant",1
"78","11040A201","DEUZELD","Restaurant",1
"79","11044A001","STABROEK-CENTRUM-WEST","Fast-Food",1
"80","11044A032","STABROEK-CENTRUM-OOST","Restaurant",1
"81","11050A000","WIJNEGEM-CENTRUM-NOORD","Restaurant",1
"82","11050A274","DORENBOS","Fast-Food",1
"83","11053A101","GOOREIND-KERN","Restaurant",1
"84","11055A000","ZOERSEL-CENTRUM","Fast-Food",1
"85","11057A00-","WESTMALLE-CENTRUM","Fast-Food",1
"86","11057B00-","OOSTMALLE-CENTRUM","Restaurant",1
"87","12005A000","BONHEIDEN-CENTRUM","Fast-Food",1
"88","12007A001","BORNEM-CENTRUM","Restaurant",1
"89","12007A122","BRANDHEIDE","Fast-Food",1
"90","12009A200","DUFFEL-CENTRUM-OOST","Fast-Food",1
"91","12014A391","STEENPUTTEN","Restaurant",1
"92","12014E001","BOOISCHOT-CENTRUM","Fast-Food",1
"93","12021A00-","LIER-CENTRUM-WEST","Fast-Food",1
"94","12025A011","VLIETSE","Fast-Food",2
"95","12025A02-","WINKELCENTRUM-(BRUUL-IJZ.LEEN)","Fast-Food",1
"96","12025A02-","WINKELCENTRUM-(BRUUL-IJZ.LEEN)","Restaurant",4
"97","12025A10-","MECHELEN - STATIONSWIJK","Fast-Food",1
"98","12025A10-","MECHELEN - STATIONSWIJK","Restaurant",1
"99","12026A01-","DORSEL","Fast-Food",1
"100","12030A000","PUURS-CENTRUM","Restaurant",1
"101","13002A000","BAARLE-HERTOG -CENTRUM","Fast-Food",1
"102","13003A00-","BALEN-CENTRUM","Fast-Food",1
"103","13008A001","GEEL-CENTRUM","Fast-Food",2
"104","13008A001","GEEL-CENTRUM","Restaurant",2
"105","13008A003","GEEL-CENTRUM STATION","Fast-Food",3
"106","13008A20-","WINKELOMSEHEIDE-KERN","Restaurant",1
"107","13008A50-","ZAMMEL-KERN","Fast-Food",1
"108","13008A820","ELZEN","Fast-Food",1
"109","13008A900","SINT-DYMPHNA","Fast-Food",1
"110","13010A021","EISTERLEE","Fast-Food",1
