"","CD_REFNIS_SECTOR","TX_SECTOR_DESCR_NL","halal_store"
"1","11002A00-","ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )",1
"2","11002B752","GLORIANTLAAN (LINKEROEVER)",1
"3","11002C24-","PROVINCIESTRAAT(STATIONSWIJK )",1
"4","11002C31-","JEZUITENCOLLEGE(STATIONSWIJK )",1
"5","11002C41-","DAMBRUGGESTRAAT-N.(STATIONSW.)",1
"6","11002C42-","DE ZAVEL (NOORDWIJK )",1
"7","11002E53-","TROONPLAATS (ZUIDWIJK)",2
"8","11002F60-","KIEL - CENTRUM (KIEL)",4
"9","11002F61-","BOOMSE STWG-BEERSCHOT (KIEL)",1
"10","11002H40-","ST.-AMANDUS (NOORDWIJK)",3
"11","11002H41-","STUIVENBERG-WEST",1
"12","11002Q012","MERKSEM-CENTRUM",1
"13","11002Q091","PARK",1
"14","11002Q201","LAMBRECHTSHOEKEN",1
"15","11002R31-","DRIEKONINGEN",1
"16","11002R34-","MUGGENBERG",2
"17","11002R42-","BOEKENBERGLEI",1
"18","11002S02-","DEN BLEEKHOF",1
"19","11002S04-","HET LAAR",2
"20","11002S10-","STENENBRUG-ZUID",1
"21","11002T00-","OP TEN BERGH",3
"22","11002T01-","POSTHOF",1
"23","11002T21-","VOSSTRAETE",1
"24","11005A04-","NOEVEREN",1
"25","11016A200","HORENDONK",1
"26","11024A01-","BROEKBEEMDEN - NACHTEGAAL",1
"27","11029A10-","MORTSEL - DORP",1
"28","11056A04-","KAPELLENKOUTER",1
"29","11056A220","HEIKEN",1
"30","12009A000","DUFFEL-CENTRUM-WEST",1
"31","12021A03-","BINNENRAND-WEST",1
"32","12025A011","VLIETSE",1
"33","12025A06-","ONZE-LIEVE-VROUWKERK",1
"34","12025A301","NEKKERSPOEL - BEERPUTTEN",1
"35","12025A332","NEKKERSPOEL -LAKENMAKERSSTRAAT",1
"36","12040A01-","WILLEBROEK-CENTRUM-ZUID",1
"37","13008A001","GEEL-CENTRUM",1
"38","13025A01-","TURNHOUTSEBAAN",1
"39","13040A012","LILLOKENS",1
"40","13040A622","DE WARANDE",1
"41","21001A011","KLEINMOLEN",1
"42","21001A02-","WAYEZ",4
"43","21001A07-","BIRMINGHAM",1
"44","21001A120","MINIEMEN",2
"45","21001A30-","BIZET",1
"46","21001A41-","ROMAIN ROLLAND",1
"47","21001B10-","DAUW-OOST",1
"48","21001B11-","DAUW-WEST",1
"49","21001B17-","SLACHTHUIS",2
"50","21001B20-","RAAD-NOORD",1
"51","21001B21-","BROGNIEZ-NOORD",2
"52","21003A00-","CENTRUM",2
"53","21003A04-","L.  DE SMET",1
"54","21003A2MJ","STATION",1
"55","21004A001","GROTE MARKT",1
"56","21004A03-","BIJSTAND - ZUID PALEIS",2
"57","21004A04-","KAPELLEKERK",1
"58","21004A33-","VRIJHEIDSPLEIN",1
"59","21004A71-","BLAESSTRAAT-CENTRUM",1
"60","21004D600","SINT-ROCHUS VOORPLEIN",1
"61","21004D610","ANTWERPSE STEENWEG-ZUID",1
"62","21004D631","GROENDREEF - VERGOTE DOK",1
"63","21004D64-","MASUIPLEIN-NORD",1
"64","21004E12-","PRINS LEOPOLDSQUARE",1
"65","21004E130","HEILIG-HART",2
"66","21004E14-","KADETTENSCHOOL",1
"67","21004E70-","MARIA-CHRISTINASTRAAT",2
"68","21004E800","GODDELIJKE JEZUS",1
"69","21004F91-","OORLOGSKRUISENLAAN",1
"70","21005A01-","SINT-GERTRUDIS",1
"71","21005A12-","SINT-ANTONIUS",1
"72","21005A14-","LEGERLAAN",1
"73","21005A322","NIEUWE BAAN-ZUID",1
"74","21006A23-","GELUKZALIGHEID",1
"75","21006A403","CICEROWIJK",1
"76","21007A53-","WIELEMANS CEUPPENS",1
"77","21009A02-","MUSEUM",1
"78","21009A041","GEWIJDE BOOM",1
"79","21009A101","FLAGEYPLEIN",1
"80","21009A111","WERYSTRAAT",1
"81","21010A02-","LEOPOLD I",1
"82","21010A03-","SPIEGEL",1
"83","21010A05-","ALBERT-WIJK",1
"84","21012A00-","CENTRUM",2
"85","21012A011","KANAAL-ZUID",1
"86","21012A02-","BRUNFAUTWIJK",1
"87","21012A041","VIER WINDEN",1
"88","21012A141","ONAFHANKELIJKHEID",1
"89","21012A152","ZWARTE VIJVERS",1
"90","21012A20-","BAECK",1
"91","21012A62-","BEVRIJDERS",1
"92","21012A63-","DUBRUCQ-NOORD",1
"93","21012A71-","PIERS",1
"94","21012A72-","LAVALLEE",1
"95","21013A101","VOORPLEIN",1
"96","21013A121","WILLEM TELL-ZUID",1
"97","21013A201","ENGELANDSTRAAT",1
"98","21013A211","FONTAINAS",1
"99","21014A00-","SINT-JOOST PLAATS",2
"100","21014A03-","MADOU",1
"101","21014A05-","HOUWAERT",1
"102","21015A03-","JOSAPHATSTRAAT",1
"103","21015A04-","L'OLIVIERSTRAAT",2
"104","21015A05-","KONINKLIJKE SINT-MARIASTRAAT",3
"105","21015A13-","PORTAELSSTRAAT",1
"106","21015A20-","HELMET",3
"107","21015A231","J. BLOCKXSTRAAT",1
"108","21015A33-","WELDOENERSPLEIN",1
"109","21015A40-","BRABANTSTRAAT",1
"110","21015A45-","STEPHENSONPLEIN",2
"111","21015A53-","DAILLYPLEIN",1
"112","21015A612","BRICHAUTSTRAAT",1
"113","21015A622","BRUSILIA",1
"114","21015A73-","H. EVENEPOELSTRAAT",1
"115","21016A05-","DE KAT",1
"116","21018A20-","GEORGES HENRILAAN",2
"117","23002E000","ZELLIK - CENTRUM",1
"118","23025B00-","STROMBEEK-BEVER-CENTRUM",1
"119","23025B112","BLOEMENDAAL",1
"120","23047B000","DIEGEM-CENTRUM",1
"121","23088A82-","VILVOORDE MECHELSE STWG. - HENDRIK I LEI (CENTRUM)",1
"122","23088A830","FAR WEST (CENTRUM)",1
"123","23094A00-","ZAVENTEM-CENTRUM",1
"124","23094B0PA","VOSKAPEL",1
"125","24020A003","HASSELTSESTRAAT",1
"126","24020A02-","LEUVENSE EN HASSELTSE POORT",1
"127","24062A01-","LEI - VISMARKT",1
"128","24062A04-","LEUVEN KLINIEK -O.L.VROUW-KERK",2
"129","24062A10-","LEUVEN DIESTSE STRAAT",1
"130","24062A13-","VAN MONSSTRAAT",1
"131","24062A20-","BONDGENOTENLAAN",1
"132","24062A32-","KLEINE GEVANGENIS",3
"133","24062A51-","BRUUL",1
"134","24062A55-","KEIZERSBERG",1
"135","24062B37-","ZWAAIKOM",1
"136","24107A00-","TIENEN-CENTRUM",1
"137","24107A01-","MOESPIK",1
"138","25018F09-","LONGUEVILLE-HAB. DISPERSEES",1
"139","25048A02-","SAINT-MEDARD",1
"140","25072A001","NIVELLES-CENTRE-NORD",3
"141","25105A000","TUBIZE-CENTRE",1
"142","25105C03-","HAMEAU DU 45",1
"143","25107A00-","VILLERS-LA-VILLE- CENTRE",1
"144","25112A001","WAVRE-CENTRE VILLE",1
"145","25112A011","SABLON",1
"146","25121A402","LOUVAIN-LA-NEUVE-CENTRE",2
"147","25121B101","MOUSTY-CENTRE",1
"148","31005A201","SINT-PIETERS - WIJNENBERG",1
"149","31005A242","VEEMARKT",2
"150","31005A60-","SMEDENPOORT",1
"151","31005H11-","LANGE VESTING",1
"152","33011A001","IEPER-CENTRUM",1
"153","34013A201","HEERBAAN",1
"154","34013A212","EILAND",1
"155","34022A04-","OUDE SINT-JANSWIJK",2
"156","34022A101","NIEUWE SINT-JANSWIJK",1
"157","34022A12-","VENNING",1
"158","34022A132","GROENINGEKAAI",1
"159","34022A201","SINT-ELISABETH",1
"160","34022A242","RIJKSWACHT",1
"161","34022A311","KLAKKAART",1
"162","34022A432","GOEDERENSTATION",1
"163","34040A001","WAREGEM - CENTRUM",1
"164","34040D010","MOLENSTRAAT",1
